text,favorited,created,statusSource,retweetCount,,,
"RT @Sites4Congress: Before this July, Jim Jordan tweeted about Afghanistan and the Taliban exactly once... over 14 years.

He doesn't care…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",1361,,,
"RT @AlinejadMasih: This woman is still in Afghanistan and she has a message for Maryam Mansef.

Your “brothers” rape and kill us here in Af…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",714,,,
RT @newsmax: Callista Gingrich: \In Taliban-controlled Afghanistan," women in particular are in grave danger.\"" https://t.co/WDZFQMFoRc""",NA,NA,CJBa97,NA,,
"RT @_peacekeeper2: This is the result of trusting a snake

US in the name of \Anti-Terror fund\"" paid billions of dollar to #Pakistan",,,,,,,
,,,,,,,
"What…""",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",77,,,
RT @WIONews: #Gravitas | Political parties in #Kerala are clashing over the #Taliban's return in #Afghanistan. Islamist groups in the state…,FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",182,,,
RT @svdate: \You can be sure the Taliban, who are now in complete control,0,1.43E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",NA,NA,
"RT @MeidasTouch: FLASHBACK: In February 2020, Donald Trump discussed how he empowered the Taliban to take over Afghanistan after America's…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",13482,,,
"RT @ItsShubhangi: After surrendering Afghanistan to Taliban, looks like Biden Administration has surrendered to Covid as well. 

24 Aug:
1,…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",332,,,
"RT @zahrasultani_: If you think ppl of Afghanistan -even the most illiterate- are ok with calling Taliban “brothers” &amp; it’s not a big deal,…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",590,,,
RT @mikepompeo: Christians and other religious minorities in Afghanistan are being persecuted for their faith. We are praying for their saf…,FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",3052,,,
"RT @RealCandaceO: Afghanistan has vaccinated approximately 2.4% of their population. (Source: Reuters)
They are a nation of about 40 millio…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",8615,,,
"@bajajsandip @NagmaniYadav_In @TarekFatah @WorldBank @IMFNews @brics Ha ha ha ha ha, <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> @Zabehulah_M33 he is the… https://t.co/BAD7mFEejb",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",0,,,
"RT @ItsShubhangi: After surrendering Afghanistan to Taliban, looks like Biden Administration has surrendered to Covid as well. 

24 Aug:
1,…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",332,,,
RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…,FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",1106,,,
